Time 	Distance	 Laps	 ?	FrictionForce
0,100	0	0,00000	0,12055	0,36165
0,200	0,00271164323203266	0,14286	0,12133	0,36399
0,300	0,00542328646406531	0,28571	0,12149	0,36446
0,400	0,0081349303945899	0,42857	0,13246	0,39739
0,500	0,0108465729281306	0,57143	0,13967	0,41902
0,600	0,0135582163929939	0,71429	0,14267	0,42800
0,700	0,0162698607891798	0,85714	0,13834	0,41502
0,800	0,0189815033227205	1,00000	0,13265	0,39795
0,900	0,02135419100523	1,12500	0,11873	0,35618
1,000	0,0237268786877394	1,25000	0,12599	0,37798
1,100	0,0260995663702488	1,37500	0,12656	0,37968
1,200	0,0284722559154034	1,50000	0,13538	0,40613
1,300	0,0308449435979128	1,62500	0,14457	0,43371
1,400	0,0332176312804222	1,75000	0,14774	0,44322
1,500	0,0355903171002865	1,87500	0,13869	0,41607
1,600	0,0379630066454411	2,00000	0,12614	0,37842
1,700	0,0403356924653053	2,12500	0,12682	0,38046
1,800	0,0427083820104599	2,25000	0,12487	0,37460
1,900	0,0450810715556145	2,37500	0,13366	0,40099
2,000	0,0474537573754787	2,50000	0,14298	0,42895
2,100	0,049826443195343	2,62500	0,14894	0,44682
2,200	0,0521991327404976	2,75000	0,14780	0,44340
2,300	0,0545718222856522	2,87500	0,13905	0,41715
2,400	0,0569445081055164	3,00000	0,12339	0,37016
2,500	0,0596561506390572	3,14286	0,12953	0,38859
2,600	0,0623677968978882	3,28571	0,12835	0,38506
2,700	0,0650794357061386	3,42857	0,13866	0,41597
2,800	0,0677910819649696	3,57143	0,14823	0,44468
2,900	0,0705027282238007	3,71429	0,15490	0,46469
3,000	0,0732143670320511	3,85714	0,14364	0,43093
3,100	0,0759260132908821	4,00000	0,13598	0,40793
3,200	0,0782987028360367	4,12500	0,12686	0,38059
3,300	0,0806713849306107	4,25000	0,12744	0,38232
3,400	0,0830440744757652	4,37500	0,13613	0,40838
3,500	0,0854167640209198	4,50000	0,14471	0,43413
3,600	0,0877894535660744	4,62500	0,15492	0,46476
3,700	0,0901621431112289	4,75000	0,15439	0,46316
3,800	0,0925348252058029	4,87500	0,14186	0,42557
3,900	0,0949075147509575	5,00000	0,12636	0,37908
4,000	0,0976191610097885	5,14286	0,13149	0,39447
4,100	0,100330799818039	5,28571	0,13311	0,39932
4,200	0,10304244607687	5,42857	0,13945	0,41836
4,300	0,10575408488512	5,57143	0,14980	0,44940
4,400	0,108465731143951	5,71429	0,16022	0,48067
4,500	0,111177369952202	5,85714	0,14583	0,43749
4,600	0,113889016211033	6,00000	0,14084	0,42252
4,700	0,116261705756187	6,12500	0,12924	0,38773
4,800	0,118634387850761	6,25000	0,13233	0,39698
4,900	0,121007077395916	6,37500	0,13380	0,40139
5,000	0,123379766941071	6,50000	0,14397	0,43190
5,100	0,125752449035645	6,62500	0,15999	0,47996
5,200	0,128125131130219	6,75000	0,16304	0,48911
5,300	0,130497828125954	6,87500	0,14265	0,42796
5,400	0,132870510220528	7,00000	0,13167	0,39500
5,500	0,135243207216263	7,12500	0,13125	0,39376
5,600	0,137615889310837	7,25000	0,13389	0,40168
5,700	0,139988571405411	7,37500	0,13913	0,41739
5,800	0,142361268401146	7,50000	0,15268	0,45804
5,900	0,144733965396881	7,62500	0,16824	0,50470
6,000	0,147106647491455	7,75000	0,15486	0,46459
6,100	0,149479329586029	7,87500	0,13992	0,41977
6,200	0,151852026581764	8,00000	0,12857	0,38570
6,300	0,154563665390015	8,14286	0,13321	0,39962
6,400	0,157275319099426	8,28571	0,13574	0,40722
6,500	0,159986957907677	8,42857	0,14546	0,43639
6,600	0,162698596715927	8,57143	0,15797	0,47392
6,700	0,165410235524178	8,71429	0,17704	0,53111
6,800	0,168121889233589	8,85714	0,14559	0,43678
6,900	0,17083352804184	9,00000	0,13743	0,41228
7,000	0,173206210136414	9,12500	0,13086	0,39259
7,100	0,175578907132149	9,25000	0,13566	0,40698
7,200	0,177951589226723	9,37500	0,13707	0,41122
7,300	0,180324286222458	9,50000	0,14921	0,44763
7,400	0,182696968317032	9,62500	0,17686	0,53059
7,500	0,185069650411606	9,75000	0,16950	0,50849
7,600	0,187442347407341	9,87500	0,14217	0,42652
7,700	0,189815029501915	10,00000	0,13079	0,39236
7,800	0,192526668310165	10,14286	0,13377	0,40131
7,900	0,195238322019577	10,28572	0,13747	0,41242
8,000	0,197949960827827	10,42857	0,14367	0,43101
8,100	0,200661599636078	10,57143	0,16082	0,48246
8,200	0,203373238444328	10,71429	0,18682	0,56046
8,300	0,20608489215374	10,85714	0,15427	0,46280
8,400	0,20879653096199	11,00000	0,14256	0,42767
8,500	0,211169213056564	11,12500	0,13090	0,39270
8,600	0,2135419100523	11,25000	0,13612	0,40837
8,700	0,215914592146873	11,37500	0,13938	0,41815
8,800	0,218287289142609	11,50000	0,14932	0,44796
8,900	0,220659971237183	11,62500	0,16964	0,50892
9,000	0,223032653331757	11,75000	0,19421	0,58263
9,100	0,225405350327492	11,87500	0,14807	0,44422
9,200	0,227778032422066	12,00000	0,13525	0,40574
9,300	0,230489671230316	12,14286	0,13452	0,40355
9,400	0,233201324939728	12,28571	0,13881	0,41644
9,500	0,235912963747978	12,42857	0,14168	0,42503
9,600	0,238624602556229	12,57143	0,15489	0,46468
9,700	0,241336241364479	12,71429	0,19381	0,58142
9,800	0,244047895073891	12,85714	0,18175	0,54525
9,900	0,246759533882141	13,00000	0,14553	0,43660
10,000	0,249132215976715	13,12500	0,13123	0,39370
10,100	0,251504898071289	13,25000	0,13635	0,40906
10,200	0,253877580165863	13,37500	0,14244	0,42733
10,300	0,256250262260437	13,50000	0,14846	0,44538
10,400	0,258622974157333	13,62500	0,16748	0,50245
10,500	0,260995656251907	13,75000	0,20414	0,61242
10,600	0,263368338346481	13,87500	0,16121	0,48363
10,700	0,265741020441055	14,00000	0,14248	0,42744
10,800	0,268113702535629	14,12500	0,13480	0,40439
10,900	0,270486414432526	14,25000	0,13909	0,41726
11,000	0,2728590965271	14,37500	0,14375	0,43124
11,100	0,275231778621674	14,50000	0,15868	0,47605
11,200	0,277604460716248	14,62500	0,18297	0,54890
11,300	0,279977142810822	14,75000	0,19934	0,59802
11,400	0,282349854707718	14,87500	0,15576	0,46729
11,500	0,284722536802292	15,00000	0,13457	0,40370
11,600	0,287434190511703	15,14286	0,13636	0,40907
11,700	0,290145814418793	15,28571	0,14325	0,42976
11,800	0,292857468128204	15,42857	0,15022	0,45066
11,900	0,295569121837616	15,57143	0,16625	0,49875
12,000	0,298280775547028	15,71429	0,20680	0,62041
12,100	0,300992399454117	15,85714	0,18318	0,54955
12,200	0,303704053163528	16,00000	0,14829	0,44486
12,300	0,306076735258102	16,12500	0,13570	0,40709
12,400	0,308449417352676	16,25000	0,13762	0,41287
12,500	0,31082209944725	16,37500	0,14947	0,44841
12,600	0,313194811344147	16,50000	0,15690	0,47071
12,700	0,315567493438721	16,62500	0,17828	0,53483
12,800	0,317940175533295	16,75000	0,21485	0,64456
12,900	0,320312857627869	16,87500	0,17428	0,52284
13,000	0,322685539722443	17,00000	0,13704	0,41112
13,100	0,325397193431854	17,14286	0,13932	0,41797
13,200	0,328108817338943	17,28571	0,14581	0,43744
13,300	0,330820471048355	17,42857	0,14959	0,44876
13,400	0,333532124757767	17,57143	0,17084	0,51253
13,500	0,336243778467178	17,71429	0,19705	0,59116
13,600	0,338955402374268	17,85714	0,20842	0,62527
13,700	0,341667056083679	18,00000	0,16276	0,48827
13,800	0,344039738178253	18,12500	0,13753	0,41260
13,900	0,346412420272827	18,25000	0,13693	0,41079
14,000	0,348785102367401	18,37500	0,15323	0,45968
14,100	0,351157784461975	18,50000	0,15793	0,47379
14,200	0,353530496358871	18,62500	0,18470	0,55410
14,300	0,355903178453445	18,75000	0,21443	0,64330
14,400	0,358275860548019	18,87500	0,19649	0,58947
14,500	0,360648542642593	19,00000	0,14906	0,44719
14,600	0,363021224737167	19,12500	0,14055	0,42165
14,700	0,365393936634064	19,25000	0,14430	0,43290
14,800	0,367766618728638	19,37500	0,15763	0,47288
14,900	0,370139300823212	19,50000	0,17171	0,51513
15,000	0,372511982917786	19,62500	0,20136	0,60408
15,100	0,37488466501236	19,75000	0,22078	0,66234
15,200	0,377257376909256	19,87500	0,18452	0,55357
15,300	0,37963005900383	20,00000	0,14371	0,43112
15,400	0,382341712713242	20,14286	0,13957	0,41871
15,500	0,385053336620331	20,28571	0,15169	0,45507
15,600	0,387764990329742	20,42857	0,16465	0,49396
15,700	0,390476614236832	20,57143	0,19261	0,57782
15,800	0,393188267946243	20,71429	0,21885	0,65654
15,900	0,395899891853333	20,85714	0,21705	0,65116
16,000	0,398611545562744	21,00000	0,16762	0,50286
16,100	0,400984227657318	21,12500	0,14237	0,42710
16,200	0,403356909751892	21,25000	0,14361	0,43083
16,300	0,405729621648788	21,37500	0,16321	0,48964
16,400	0,408102303743362	21,50000	0,17323	0,51969
16,500	0,410474985837936	21,62500	0,20943	0,62830
16,600	0,412847697734833	21,75000	0,22139	0,66418
16,700	0,415220379829407	21,87500	0,20865	0,62596
16,800	0,417593061923981	22,00000	0,15611	0,46832
16,900	0,420304715633392	22,14286	0,14371	0,43114
17,000	0,423016339540482	22,28572	0,15338	0,46014
17,100	0,425727993249893	22,42857	0,17088	0,51263
17,200	0,428439617156982	22,57143	0,19295	0,57885
17,300	0,431151270866394	22,71428	0,22455	0,67366
17,400	0,433862894773483	22,85714	0,22229	0,66688
